"","recording","site_name","playlist","time","date","MANUAL_MATCH","template","threshold","identifikators","PM_MATCH","validated_fragment"
"1","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",1,0
"2","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.2","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.2",NA,NA
"3","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.3","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.3",NA,NA
"4","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.1","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.1",NA,NA
"5","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.2","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.2",NA,NA
"6","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"1.0 sec","0.3","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_1.0 sec_0.3",NA,NA
"7","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.1","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.1",NA,NA
"8","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.2","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.2",NA,NA
"9","20250823_000000.WAV","1_AiAu03_KZP","1_AiAu03_KZP_480_part_1",00:00:00,2025-08-23,0,"2.0 sec","0.3","1_AiAu03_KZP_480_part_1_2025-08-23_00:00:00_2.0 sec_0.3",NA,NA
"10","20250823_000000.WAV","10_ZdzE06_KZP","10_ZdzE06_KZP_480_part_1",00:00:00,2025-08-23,0,"0.5 sec","0.1","10_ZdzE06_KZP_480_part_1_2025-08-23_00:00:00_0.5 sec_0.1",NA,NA
